OBJECTID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Shape_Length,Shape_Area,Num_Bus,Centroid_X,Centroid_Y,BlockGroupArea
1,0,360050167001,0,1,0.007540517906520,0.000003505238624,4,191.630859681290250,46.383362487467430,0.012675620871503
2,0,360050167002,0,1,0.020912078874878,0.000018739434236,7,191.517988793595210,46.518354795301498,0.067763707913548
3,0,360050169001,0,1,0.017245746138645,0.000009923044347,4,191.508910549911890,46.310937923766069,0.035884248913911
4,0,360050173002,0,1,0.007081231507582,0.000002787743985,1,190.805919417772910,45.596220963465306,0.010082739066407
5,0,360050175002,0,1,0.006461695560381,0.000002524335086,2,190.855465323375680,45.747523882316273,0.009129725997397
6,0,360050175005,0,1,0.004663117558608,0.000001259281268,0,190.960677685445600,45.803938402412761,0.004554374912306
7,0,360050183021,0,1,0.008992195350103,0.000003198306549,1,190.612233702818320,45.623534805880738,0.011567487780757
8,0,360050184003,0,1,0.016543971578295,0.000011781923543,2,195.312724982803960,46.170108487994597,0.042608043984712
9,0,360050185002,0,1,0.008393645093002,0.000004326141854,1,191.446349504001150,45.737145177609513,0.015646369058614
10,0,360050201003,0,1,0.009972504679266,0.000003283894065,0,190.264984905477750,46.448074706720313,0.011875037505960
11,0,360050204001,0,1,0.006833969140210,0.000002510518380,1,194.154911055394080,46.606484478937936,0.009078071684109
12,0,360050205012,0,1,0.014366382543572,0.000007832337907,3,190.462885625384020,46.903011199561035,0.028320119254652
13,0,360050205022,0,1,0.008669943834817,0.000003489239443,0,190.620283739528470,47.231308990486227,0.012615576043857
14,0,360050210013,0,1,0.005012296304878,0.000001678743546,0,193.949181089189350,46.573700046325534,0.006070426523491
15,0,360050210021,0,1,0.008790902351995,0.000002863697198,1,193.875781361984960,46.291780519077335,0.010355958715346
16,0,360050210024,0,1,0.007050283277725,0.000002203708390,0,193.988946806543710,46.426552630514934,0.007968985211763
17,0,360050215013,0,1,0.008454427981682,0.000002894345148,0,190.607881241657680,47.031434303944472,0.010465051781607
18,0,360050216013,0,1,0.004323080846104,0.000001120327565,0,193.405877273158810,46.460085564317509,0.004051259263520
19,0,360050216021,0,1,0.009029716971101,0.000002889884162,4,193.564304410042870,46.449360688658516,0.010450237485116
